song_id,filename,instrument,song_type,main_theme,subtheme_1,subtheme_2,subtheme_3,char_count,line_count
song_101_211_321,song_101_211_321_フレームドラム_ワルツ_星図観測.txt,フレームドラム,ワルツ,星図観測,古い名を読む,途切れた足音,明日へ続く砂道,465,20
song_101_211_322,song_101_211_322_フレームドラム_ワルツ_禁書目録.txt,フレームドラム,ワルツ,禁書目録,木札の触れる音,石橋のたもと,まぶたの重さ,465,20
song_101_211_323,song_101_211_323_フレームドラム_ワルツ_森の交信.txt,フレームドラム,ワルツ,森の交信,古い金具の鈍い光,丸い水盤,まだ帰れない理由,466,20
song_101_212_321,song_101_212_321_フレームドラム_タンゴ_星図観測.txt,フレームドラム,タンゴ,星図観測,雲が切れる瞬間,古い予言の端,薬草の苦み,464,20
song_101_212_322,song_101_212_322_フレームドラム_タンゴ_禁書目録.txt,フレームドラム,タンゴ,禁書目録,扉の前で迷う,落ちる花飾り,隊商の後ろ姿,464,20
song_101_212_323,song_101_212_323_フレームドラム_タンゴ_森の交信.txt,フレームドラム,タンゴ,森の交信,鍵が鳴る音,旅芸人宿の廊下,石の冷たさ,463,20
song_101_311_221,song_101_311_221_フレームドラム_ノクターン_薔薇.txt,フレームドラム,ノクターン,薔薇,薄紫の夕空,古い星盤,言えなかった約束,463,20
song_101_311_222,song_101_311_222_フレームドラム_ノクターン_香辛市場.txt,フレームドラム,ノクターン,香辛市場,市場が開く前,封じられた輪,乾いた香辛料,466,20
song_101_311_223,song_101_311_223_フレームドラム_ノクターン_婚礼行列.txt,フレームドラム,ノクターン,婚礼行列,窓を開けない,戻れない橋,砂に消える足跡,466,20
song_101_312_221,song_101_312_221_フレームドラム_チャント_薔薇.txt,フレームドラム,チャント,薔薇,胸の中の鼓動,水路沿いの階段,汗ばむ掌,462,20
song_101_312_222,song_101_312_222_フレームドラム_チャント_香辛市場.txt,フレームドラム,チャント,香辛市場,濡れた石の光,油紙の包み,戻れない夜,463,20
song_101_312_223,song_101_312_223_フレームドラム_チャント_婚礼行列.txt,フレームドラム,チャント,婚礼行列,夜更けの階段,読めない碑文,雨上がりの土,465,20
song_102_211_321,song_102_211_321_エレキギター_ワルツ_星図観測.txt,エレキギター,ワルツ,星図観測,声を落とす,崩れた石段,荷札の裏の名前,462,20
song_102_211_322,song_102_211_322_エレキギター_ワルツ_禁書目録.txt,エレキギター,ワルツ,禁書目録,止まらない拍,高い塔の窓,指でなぞる欠け,463,20
song_102_211_323,song_102_211_323_エレキギター_ワルツ_森の交信.txt,エレキギター,ワルツ,森の交信,水面の銀色,旅鞄の紐,はじめての勇気,461,20
song_102_212_321,song_102_212_321_エレキギター_タンゴ_星図観測.txt,エレキギター,タンゴ,星図観測,夕暮れの長い影,夢に出た扉,干した果実の甘さ,465,20
song_102_212_322,song_102_212_322_エレキギター_タンゴ_禁書目録.txt,エレキギター,タンゴ,禁書目録,列から外れる,見つかる前の沈黙,古い道標,463,20
song_102_212_323,song_102_212_323_エレキギター_タンゴ_森の交信.txt,エレキギター,タンゴ,森の交信,舞台袖の沈黙,オアシスの木陰,乾いた唇,462,20
song_102_311_221,song_102_311_221_エレキギター_ノクターン_薔薇.txt,エレキギター,ノクターン,薔薇,曇った鏡,乾いた筆,追いかけない背中,461,20
song_102_311_222,song_102_311_222_エレキギター_ノクターン_香辛市場.txt,エレキギター,ノクターン,香辛市場,砂が冷える夕方,黒猫の通ったあと,甘い香油の気配,469,20
song_102_311_223,song_102_311_223_エレキギター_ノクターン_婚礼行列.txt,エレキギター,ノクターン,婚礼行列,小瓶を選ぶ,燃え移る紙,帰れない夕暮れ,464,20
song_102_312_221,song_102_312_221_エレキギター_チャント_薔薇.txt,エレキギター,チャント,薔薇,息を合わせる間,香辛料店の棚,冷えた指先,462,20
song_102_312_222,song_102_312_222_エレキギター_チャント_香辛市場.txt,エレキギター,チャント,香辛市場,赤い布の影,欠けた木札,ほどけない後悔,463,20
song_102_312_223,song_102_312_223_エレキギター_チャント_婚礼行列.txt,エレキギター,チャント,婚礼行列,息が白くなる夜,誰もいない声,塩気のある風,465,20
song_201_111_321,song_201_111_321_ウード_マーチ_星図観測.txt,ウード,マーチ,星図観測,緑の木漏れ日,油灯の煙,許されない願い,459,20
song_201_111_322,song_201_111_322_ウード_マーチ_禁書目録.txt,ウード,マーチ,禁書目録,古い花輪,青白い朝,砂道の曲がり角,457,20
song_201_111_323,song_201_111_323_ウード_マーチ_森の交信.txt,ウード,マーチ,森の交信,石を叩く音,頬に当たる砂,知らない星座,459,20
song_201_112_321,song_201_112_321_ウード_アンセム_星図観測.txt,ウード,アンセム,星図観測,鍵を握る,名前のない印,遅すぎた合図,459,20
song_201_112_322,song_201_112_322_ウード_アンセム_禁書目録.txt,ウード,アンセム,禁書目録,黄色い市場灯,市場の甘い湯気,守りたい秘密,462,20
song_201_112_323,song_201_112_323_ウード_アンセム_森の交信.txt,ウード,アンセム,森の交信,濡れた羽,月が高い時間,隊商宿の中庭,459,20
song_201_311_121,song_201_311_121_ウード_ノクターン_熱砂.txt,ウード,ノクターン,熱砂,夜風の低い音,喉に残る甘さ,遠回りの道,459,20
song_201_311_122,song_201_311_122_ウード_ノクターン_砂嵐.txt,ウード,ノクターン,砂嵐,風を待つ,風が選ぶ札,凍る返事,455,20
song_201_311_123,song_201_311_123_ウード_ノクターン_凱旋.txt,ウード,ノクターン,凱旋,淡い星明かり,古い紙の匂い,選べなかった道,461,20
song_201_312_121,song_201_312_121_ウード_チャント_熱砂.txt,ウード,チャント,熱砂,赤い紐,風が止まる一瞬,井戸のそば,456,20
song_201_312_122,song_201_312_122_ウード_チャント_砂嵐.txt,ウード,チャント,砂嵐,遠くの足音,胸の奥の痛み,見送るだけの門,459,20
