id,base_id,pattern,region_code,region,title,instrument,song_type,main_theme,support_theme,premise,lyrics,file
113110,11311,theme,0,,砂の手紙,フレームドラム,ワルツ,砂嵐,星霊,"砂時計を直す若い職人が、待つだけだった自分の時間を動かそうとする。
地域要素は指定しません。登場人物や出来事の小さな一場面を中心にしてください。",われた　すなどけい / そっと　ひらく / てのひらで　あたためる / こまかな　きずまで /  / わたしの　しごと / さらさら　こぼれても / まだ　おわりじゃない / ちいさな　あしたを / このてで　なおす /  / まどべの　かぜが / ページを　めくる / つぎの　ひかりへ / こえを　つなぐ,public/prompts/vocal/113110_砂の手紙.txt
113120,11312,theme,0,,泥花の帰り道,フレームドラム,ワルツ,凱旋,星霊,"帰還兵の靴を磨く少年が、泥の下から小さな花びらを見つける。
地域要素は指定しません。登場人物や出来事の小さな一場面を中心にしてください。",どろの　はなびら / ゆびで　たしかめる / かがみに　うつらない / わたしの　かおだけ /  / うたに　のこした / ねむった　ほんから / ふるい　こえが / わたしの　うたへ / すこし　まざる /  / ふるい　まどから / かぜが　はいって / きのうの　ほこりを / そっと　はらう,public/prompts/vocal/113120_泥花の帰り道.txt
113130,11313,theme,0,,白紙に咲く声,フレームドラム,ワルツ,王国,星霊,"透明なインクで手紙を書こうとして失敗した見習いが、白紙を歌に変える。
地域要素は指定しません。登場人物や出来事の小さな一場面を中心にしてください。",まっしろな　てがみ / まだ　しまわない / しらない　ひとの / ちいさな　ために /  / はなを　ならべた / みえない　きもちを / しろい　かみに / かけない　かわりに / うたへ　かえる /  / ぬれた　ゆびさき / かわく　ころには / ことばの　かわりに / うたが　のこる,public/prompts/vocal/113130_白紙に咲く声.txt
114110,11411,theme,0,,鳴らない鐘,フレームドラム,タンゴ,砂嵐,星霊,"祝祭の日に鐘を鳴らさない鐘守が、沈黙で誰かを守ろうとする。
地域要素は指定しません。登場人物や出来事の小さな一場面を中心にしてください。",ならない　かね / こえに　かえる / しずかな　ろうそく / けさない　ままで /  / まどを　みていた / さけた　はたでも / まだ　かぜを　うける / だれも　いわない / つよさを　ぬう /  / よるが　きても / まだ　きこえる / あしたの　ほうへ / あるく　おと,public/prompts/vocal/114110_鳴らない鐘.txt
114120,11412,theme,0,,空袋の約束,フレームドラム,タンゴ,凱旋,星霊,"水売りの少女が、空になった水袋を捨てられず、約束の形として持ち歩く。
地域要素は指定しません。登場人物や出来事の小さな一場面を中心にしてください。",からの　みずぶくろ / かぜへ　にがす / うみの　むこうへ / いかせない　ひを /  / ひとばん　かくした / からっぽ　だから / すこし　かるくなる / あしたの　みずなら / まだ　さがせる /  / ちいさな　しるしを / なくさないように / むねの　ちかくへ / そっと　しまう,public/prompts/vocal/114120_空袋の約束.txt
114130,11413,theme,0,,仮面のあと,フレームドラム,タンゴ,王国,星霊,"閉店後の仮面屋で、売れ残った仮面だけが本当の顔を知っている。
地域要素は指定しません。登場人物や出来事の小さな一場面を中心にしてください。",うれのこりの　かめん / むねに　のこす / くつの　すみに　のこる / ちいさな　いろだけ /  / だれにも　いわない / ちずには　ないけど / この　おりめだけ / わたしの　あしを / まえへ　うながす /  / だれかの　ためだけ / では　もう　なくて / わたしの　なかで / うたが　はじまる,public/prompts/vocal/114130_仮面のあと.txt
115110,11511,theme,0,,嘘の道しるべ,フレームドラム,ノクターン,砂嵐,薔薇,"迷宮案内人が、依頼人を危険から遠ざけるために一度だけ道を偽る。
地域要素は指定しません。登場人物や出来事の小さな一場面を中心にしてください。",まちがえた　みちしるべ / そっと　ひらく / まよわない　ふりで / ひだりへ　まがる /  / きみを　まもるため / うその　みちでも / こわくは　ないよ / きみが　かえるまで / あかりを　もつ /  / まどべの　かぜが / ページを　めくる / つぎの　ひかりへ / こえを　つなぐ,public/prompts/vocal/115110_嘘の道しるべ.txt
115120,11512,theme,0,,眠る本のつづき,フレームドラム,ノクターン,凱旋,薔薇,"禁書庫の番人が、読んだことのない本の続きを眠りながら口ずさむ。
地域要素は指定しません。登場人物や出来事の小さな一場面を中心にしてください。",ねむる　ほんのすみ / ゆびで　たしかめる / ひばちの　そばで / ただしい　おりめ /  / ゆびが　おぼえる / よごれた　はなでも / かえりみちに　さく / なくした　こえまで / やさしく　ひろう /  / ふるい　まどから / かぜが　はいって / きのうの　ほこりを / そっと　はらう,public/prompts/vocal/115120_眠る本のつづき.txt
115130,11513,theme,0,,灯を消す夜,フレームドラム,ノクターン,王国,薔薇,"灯台守が一晩だけ灯を消し、帰ってはいけない船を遠ざける。
地域要素は指定しません。登場人物や出来事の小さな一場面を中心にしてください。",けした　とうだいび / まだ　しまわない / かわいた　ふくろを / むねに　しまって /  / すこし　あるいた / けした　あかりが / だれかを　すくうなら / くらい　うみでも / こわくは　ない /  / ぬれた　ゆびさき / かわく　ころには / ことばの　かわりに / うたが　のこる,public/prompts/vocal/115130_灯を消す夜.txt
116110,11611,theme,0,,裂けた旗,フレームドラム,チャント,砂嵐,薔薇,"負けた日のことを語らない老婆が、裂けた旗を縫い続ける。
地域要素は指定しません。登場人物や出来事の小さな一場面を中心にしてください。",さけた　はたのはし / こえに　かえる / ぬいめの　したには / まけた　ひの　かぜ /  / まだ　のこってる / ならない　かねにも / まもれる　ものがある / しずけさの　なかで / ひとり　うなずく /  / よるが　きても / まだ　きこえる / あしたの　ほうへ / あるく　おと,public/prompts/vocal/116110_裂けた旗.txt
